esq1,esq2,esq3,centro,dir3,dir2,dir1,label
0,0.25290963053703,0,0,0,0,0,1
0,0.19343155622482,0,0,0,0,0,1
0,0.19100305438042,0,0,0,0,0,1
0,0.18872267007828,0,0,0,0,0,1
0,0.1865151822567,0,0,0,0,0,1
0,0.18455350399017,0,0,0,0,0,1
0,0.18434470891953,0,0,0,0,0,1
0,0.17999687790871,0,0,0,0,0,1
0,0.17821119725704,0,0,0,0,0,1
0,0.17636503279209,0,0,0,0,0,1
0,0.17456820607185,0,0,0,0,0,1
0,0.17578706145287,0,0,0,0,0,1
0,0.17512717843056,0,0,0,0,0,1
0,0.17510856688023,0,0,0,0,0,1
0,0.1750880330801,0,0,0,0,0,1
0,0.17507261037827,0,0,0,0,0,1
0,0.17507091164589,0,0,0,0,0,1
0,0.17507386207581,0,0,0,0,0,1
0,0.16849026083946,0,0,0,0,0,1
0,0.16546913981438,0,0,0,0,0,1
0,0.1654619127512,0,0,0,0,0,1
0,0.16545847058296,0,0,0,0,0,1
0,0.17504754662514,0,0,0,0,0,1
0,0.1750411093235,0,0,0,0,0,1
0,0.17503303289413,0,0,0,0,0,1
0,0.17801037430763,0,0,0,0,0,1
0,0.1751905977726,0,0,0,0,0,1
0,0,0.153460085392,0,0,0,0,1
0,0,0.14016623795033,0,0,0,0,1
0,0,0.13526609539986,0,0,0,0,1
0,0,0.13189677894115,0,0,0,0,1
0,0,0.12846665084362,0,0,0,0,1
0,0,0.12559016048908,0,0,0,0,1
0,0,0.12420000135899,0,0,0,0,1
0,0,0.12032680958509,0,0,0,0,1
0,0,0.1183024123311,0,0,0,0,1
0,0,0.11668403446674,0,0,0,0,1
0,0,0.11783027648926,0,0,0,0,1
0,0,0.11748369038105,0,0,0,0,1
0,0,0.11749325692654,0,0,0,0,1
0,0,0.11749717593193,0,0,0,0,1
0,0,0.11749663949013,0,0,0,0,1
0,0,0.11749347299337,0,0,0,0,1
0,0,0.11044893413782,0,0,0,0,1
0,0,0.11044363677502,0,0,0,0,1
0,0,0.11043953150511,0,0,0,0,1
0,0,0.11749216914177,0.13117074966431,0,0,0,1
0,0,0.1174950748682,0.12606194615364,0,0,0,1
0,0,0.11749763786793,0.12180121988058,0,0,0,1
0,0,0.11749615520239,0.12019729614258,0,0,0,1
