esq1,esq2,esq3,centro,dir3,dir2,dir1,label
0,0,0,0.10643570125103,0,0,0,0
0,0,0,0.10643582046032,0,0,0,0
0,0,0,0.10643558949232,0,0,0,0
0,0,0,0.10643593966961,0,0,0,0
0,0,0,0.10643526911736,0,0,0,0
0,0,0,0.10643573105335,0,0,0,0
0,0,0,0.10643637925386,0,0,0,0
0,0,0,0.10643619298935,0,0,0,0
0,0,0,0.10643593966961,0,0,0,0
0,0,0,0.10643585771322,0,0,0,0
0,0,0,0.10643583536148,0,0,0,0
0,0,0,0.10643594712019,0,0,0,0
0,0,0,0.10643587261438,0,0,0,0
0,0,0,0.10643590241671,0,0,0,0
0,0,0,0.10643599927425,0,0,0,0
0,0,0,0.10643596202135,0,0,0,0
0,0,0,0.10643593966961,0,0,0,0
0,0,0,0.10643594712019,0,0,0,0
0,0,0,0.10643593966961,0,0,0,0
0,0,0,0.10643593966961,0,0,0,0
0,0,0,0.10643599927425,0,0,0,0
0,0,0,0.10643599182367,0,0,0,0
0,0,0,0.10643599927425,0,0,0,0
0,0,0,0.10643599927425,0,0,0,0
0,0,0,0.10643599182367,0,0,0,0
0,0,0,0.10643599927425,0,0,0,0
0,0,0,0.10643599927425,0,0,0,0
0,0,0,0.10643599927425,0,0,0,0
0,0,0,0.10643599927425,0,0,0,0
0,0,0,0.10643599927425,0,0,0,0
0,0,0,0.10643606632948,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643608868122,0,0,0,0
0,0,0,0.10643611848354,0,0,0,0
